Stadium Name,Lat,Lng,Teams,URL
American Family Fields of Phoenix,33.49222222,-112.17305556,"Milwaukee Brewers",https://en.wikipedia.org/wiki/American_Family_Fields_of_Phoenix
Camelback Ranch,33.51416667,-112.29583333,"Chicago White Sox, Los Angeles Dodgers",https://en.wikipedia.org/wiki/Camelback_Ranch
Goodyear Ballpark,33.42916667,-112.39,"Cincinnati Reds, Cleveland Indians",https://en.wikipedia.org/wiki/Goodyear_Ballpark
Hohokam Stadium,33.43805556,-111.83,"Oakland Athletics",https://en.wikipedia.org/wiki/Hohokam_Stadium
Peoria Sports Complex,33.6319,-112.2332,"San Diego Padres, Seattle Mariners",https://en.wikipedia.org/wiki/Peoria_Sports_Complex
Salt River Fields at Talking Stick,33.54611111,-111.88527778,"Arizona Diamondbacks, Colorado Rockies",https://en.wikipedia.org/wiki/Salt_River_Fields_at_Talking_Stick
Scottsdale Stadium,33.48833333,-111.92111111,"San Francisco Giants",https://en.wikipedia.org/wiki/Scottsdale_Stadium
Sloan Park,33.4313,-111.8816,"Chicago Cubs",https://en.wikipedia.org/wiki/Sloan_Park
Surprise Stadium,33.62777778,-112.37777778,"Kansas City Royals, Texas Rangers",https://en.wikipedia.org/wiki/Surprise_Stadium
Tempe Diablo Stadium,33.40055556,-111.96972222,"Los Angeles Angels",https://en.wikipedia.org/wiki/Tempe_Diablo_Stadium
